sel_phenotype	co_phenotype	# of shared individuals	# of shared significant biomolecules (adjusted)	institution
Cancer of bronchus; lung	Syncope and collapse	151	NA	vumc
Cancer of bronchus; lung	Dizziness and giddiness (Light-headedness and vertigo)	146	NA	vumc
Cancer of bronchus; lung	Pulmonary embolism and infarction, acute	146	NA	vumc
Cancer of bronchus; lung	Hemoptysis	146	NA	vumc
Cancer of bronchus; lung	Sepsis	143	NA	vumc
Cancer of bronchus; lung	Swelling, mass, or lump in head and neck [Space-occupying lesion, intracranial NOS]	141	NA	vumc
Cancer of bronchus; lung	Cervicalgia	140	NA	vumc
Cancer of bronchus; lung	Cerebral edema and compression of brain	139	NA	vumc
Cancer of bronchus; lung	Obstructive chronic bronchitis	139	NA	vumc
Cancer of bronchus; lung	Other disorders of the kidney and ureters	139	NA	vumc
Cancer of bronchus; lung	Disturbance of skin sensation	139	NA	vumc
Cancer of bronchus; lung	Deep vein thrombosis [DVT]	138	NA	vumc
Cancer of bronchus; lung	Voice disturbance	138	NA	vumc
Cancer of bronchus; lung	Diverticulosis	136	NA	vumc
Cancer of bronchus; lung	Antineoplastic and immunosuppressive drugs causing adverse effects	136	NA	vumc
Cancer of bronchus; lung	Alteration of consciousness	135	NA	vumc
Cancer of bronchus; lung	Other specified cardiac dysrhythmias	131	NA	vumc
Cancer of bronchus; lung	Senile cataract	128	NA	vumc
Cancer of bronchus; lung	Septicemia	126	NA	vumc
Cancer of bronchus; lung	Cancer of larynx	125	NA	vumc
Cancer of bronchus; lung	Hyperplasia of prostate	124	NA	vumc
Cancer of bronchus; lung	Other chronic ischemic heart disease, unspecified	120	NA	vumc
Cancer of bronchus; lung	Malignant neoplasm of female breast	114	NA	vumc
Cancer of bronchus; lung	Other upper respiratory disease	114	NA	vumc
Cancer of bronchus; lung	Chronic pain	113	NA	vumc
Cancer of bronchus; lung	Pericarditis	111	NA	vumc
Cancer of bronchus; lung	Secondary malignant neoplasm of digestive systems	109	NA	vumc
Cancer of bronchus; lung	Peripheral vascular disease, unspecified	109	NA	vumc
Cancer of bronchus; lung	Benign neoplasm of colon	108	NA	vumc
Cancer of bronchus; lung	Asthma	108	NA	vumc
Cancer of bronchus; lung	Chronic renal failure [CKD]	108	NA	vumc
Cancer of bronchus; lung	Allergic rhinitis	105	NA	vumc
Cancer of bronchus; lung	Obstructive sleep apnea	104	NA	vumc
Cancer of bronchus; lung	Colon cancer	102	NA	vumc
Cancer of bronchus; lung	Hyperpotassemia	101	NA	vumc
Cancer of bronchus; lung	Transient cerebral ischemia	101	NA	vumc
Cancer of bronchus; lung	Cancer of connective tissue	99	NA	vumc
Cancer of bronchus; lung	Traumatic and surgical subcutaneous emphysema	98	NA	vumc
Cancer of bronchus; lung	Other disorders of liver	93	NA	vumc
Cancer of bronchus; lung	Convulsions	91	NA	vumc
Cancer of bronchus; lung	Hypertensive chronic kidney disease	91	NA	vumc
Cancer of bronchus; lung	Retention of urine	91	NA	vumc
Cancer of bronchus; lung	Encounter for long-term (current) use of aspirin	90	NA	vumc
Cancer of bronchus; lung	Bacterial infection NOS	89	NA	vumc
Cancer of bronchus; lung	Adjustment reaction	89	NA	vumc
Cancer of bronchus; lung	Hypertensive heart disease	89	NA	vumc
Cancer of bronchus; lung	Occlusion and stenosis of precerebral arteries	89	NA	vumc
Cancer of bronchus; lung	Osteoporosis NOS	87	NA	vumc
Cancer of bronchus; lung	Palpitations	86	NA	vumc
Cancer of bronchus; lung	Respiratory insufficiency	86	NA	vumc
Cancer of bronchus; lung	Bacteremia	85	NA	vumc
Cancer of bronchus; lung	Hypercalcemia	84	NA	vumc
Cancer of bronchus; lung	Obesity	84	NA	vumc
Cancer of bronchus; lung	Seborrheic keratosis	84	NA	vumc
Cancer of bronchus; lung	Hx of malignant neoplasm of oral cavity and pharynx	83	NA	vumc
Cancer of bronchus; lung	Acidosis	83	NA	vumc
Cancer of bronchus; lung	Other forms of chronic heart disease	83	NA	vumc
Cancer of bronchus; lung	Degeneration of intervertebral disc	83	NA	vumc
Cancer of bronchus; lung	Adult failure to thrive	82	NA	vumc
Cancer of bronchus; lung	Hematuria	82	NA	vumc
Cancer of bronchus; lung	Spondylosis without myelopathy	82	NA	vumc
Cancer of bronchus; lung	Neoplasm of uncertain behavior of skin	81	NA	vumc
Cancer of bronchus; lung	Pancytopenia	81	NA	vumc
Cancer of bronchus; lung	Major depressive disorder	81	NA	vumc
Cancer of bronchus; lung	Nonrheumatic aortic valve disorders	81	NA	vumc
Cancer of bronchus; lung	Pulmonary insufficiency or respiratory failure following trauma and surgery	79	NA	vumc
Cancer of bronchus; lung	Swelling of limb	79	NA	vumc
Cancer of bronchus; lung	Candidiasis	78	NA	vumc
Cancer of bronchus; lung	Cataract	78	NA	vumc
Cancer of bronchus; lung	Nonrheumatic mitral valve disorders	78	NA	vumc
Cancer of bronchus; lung	Heart failure with reduced EF [Systolic or combined heart failure]	78	NA	vumc
Cancer of bronchus; lung	Muscle weakness	78	NA	vumc
Cancer of bronchus; lung	Cerebral artery occlusion, with cerebral infarction	77	NA	vumc
Cancer of bronchus; lung	Paralysis/spasm of vocal cords or larynx	76	NA	vumc
Cancer of bronchus; lung	Actinic keratosis	76	NA	vumc
Cancer of bronchus; lung	Melanomas of skin	75	NA	vumc
Cancer of bronchus; lung	Abnormality of gait	75	NA	vumc
Cancer of bronchus; lung	Hereditary and idiopathic peripheral neuropathy	74	NA	vumc
Cancer of bronchus; lung	Bone cancer	73	NA	vumc
Cancer of bronchus; lung	Substance addiction and disorders	73	NA	vumc
Cancer of bronchus; lung	Pulmonary congestion and hypostasis	73	NA	vumc
Cancer of bronchus; lung	Arthropathy NOS	73	NA	vumc
Cancer of bronchus; lung	Cancer of prostate	72	NA	vumc
Cancer of bronchus; lung	Secondary hypothyroidism	72	NA	vumc
Cancer of bronchus; lung	Fluid overload	71	NA	vumc
Cancer of bronchus; lung	Abdominal aortic aneurysm	71	NA	vumc
Cancer of bronchus; lung	Frequency of urination and polyuria	71	NA	vumc
Cancer of bronchus; lung	Other abnormal blood chemistry	71	NA	vumc
Cancer of bronchus; lung	Cancer of oropharynx	70	NA	vumc
Cancer of bronchus; lung	Vitamin D deficiency	70	NA	vumc
Cancer of bronchus; lung	Hemorrhage of gastrointestinal tract	70	NA	vumc
Cancer of bronchus; lung	Cancer of intrathoracic organs	69	NA	vumc
Cancer of bronchus; lung	Adverse drug events and drug allergies	69	NA	vumc
Cancer of bronchus; lung	Disorders of adrenal glands	68	NA	vumc
Cancer of bronchus; lung	Osteoarthrosis, localized, primary	68	NA	vumc
Cancer of bronchus; lung	Cancer of brain	67	NA	vumc
Cancer of bronchus; lung	Dependence on respirator [Ventilator] or supplemental oxygen	67	NA	vumc
Cancer of bronchus; lung	Iron deficiency anemias, unspecified or not due to blood loss	66	NA	vumc
Cancer of bronchus; lung	Acute upper respiratory infections of multiple or unspecified sites	66	NA	vumc
Cancer of bronchus; lung	Chronic Kidney Disease, Stage III	66	NA	vumc
Cancer of bronchus; lung	Myalgia and myositis unspecified	66	NA	vumc
Cancer of bronchus; lung	Systemic inflammatory response syndrome (SIRS)	66	NA	vumc
Cancer of bronchus; lung	Ascites (non malignant)	65	NA	vumc
Cancer of bronchus; lung	Malignant neoplasm of kidney, except pelvis	64	NA	vumc
Cancer of bronchus; lung	Acute bronchitis and bronchiolitis	63	NA	vumc
Cancer of bronchus; lung	Postinflammatory pulmonary fibrosis	63	NA	vumc
Cancer of bronchus; lung	Diaphragmatic hernia	63	NA	vumc
Cancer of bronchus; lung	Pathologic fracture	63	NA	vumc
Cancer of bronchus; lung	Unstable angina (intermediate coronary syndrome)	62	NA	vumc
Cancer of bronchus; lung	Primary/intrinsic cardiomyopathies	62	NA	vumc
Cancer of bronchus; lung	Sinoatrial node dysfunction (Bradycardia)	61	NA	vumc
Cancer of bronchus; lung	Malignant neoplasm of bladder	60	NA	vumc
Cancer of bronchus; lung	Cardiac pacemaker in situ	60	NA	vumc
Cancer of bronchus; lung	Encounter for long-term (current) use of antibiotics	60	NA	vumc
Cancer of bronchus; lung	Sensorineural hearing loss	59	NA	vumc
Cancer of bronchus; lung	Angina pectoris	59	NA	vumc
Cancer of bronchus; lung	Atrial flutter	58	NA	vumc
Cancer of bronchus; lung	severe protein-calorie malnutrition	57	NA	vumc
Cancer of bronchus; lung	Dysuria	57	NA	vumc
Cancer of bronchus; lung	Type 2 diabetes with neurological manifestations	56	NA	vumc
Cancer of bronchus; lung	Peripheral enthesopathies and allied syndromes	56	NA	vumc
Cancer of bronchus; lung	Diseases of the larynx and vocal cords	55	NA	vumc
Cancer of bronchus; lung	Painful respiration	55	NA	vumc
Cancer of bronchus; lung	Urinary incontinence	55	NA	vumc
Cancer of bronchus; lung	Cancer of tongue	54	NA	vumc
Cancer of bronchus; lung	Gout	54	NA	vumc
Cancer of bronchus; lung	Bacterial pneumonia	54	NA	vumc
Cancer of bronchus; lung	Calculus of kidney	54	NA	vumc
Cancer of bronchus; lung	Insulin pump user	53	NA	vumc
Cancer of bronchus; lung	Heart failure with preserved EF [Diastolic heart failure]	53	NA	vumc
Cancer of bronchus; lung	Abnormal mammogram	53	NA	vumc
Cancer of bronchus; lung	Superficial cellulitis and abscess	53	NA	vumc
Cancer of bronchus; lung	Enthesopathy	52	NA	vumc
Cancer of bronchus; lung	Secondary malignant neoplasm of skin	51	NA	vumc
Cancer of bronchus; lung	Other intestinal obstruction	51	NA	vumc
Cancer of bronchus; lung	Atopic/contact dermatitis due to other or unspecified	51	NA	vumc
Cancer of bronchus; lung	Diseases of white blood cells	50	NA	vumc
Cancer of bronchus; lung	Acute sinusitis	50	NA	vumc
Cancer of bronchus; lung	Fracture of vertebral column without mention of spinal cord injury	50	NA	vumc
Cancer of bronchus; lung	Melanomas of skin, dx or hx	49	NA	vumc
Cancer of bronchus; lung	Heart failure NOS	49	NA	vumc
Cancer of bronchus; lung	Esophagitis, GERD and related diseases	49	NA	vumc
Cancer of bronchus; lung	Heartburn	49	NA	vumc
Cancer of bronchus; lung	Postoperative infection	48	NA	vumc
Cancer of bronchus; lung	Type 1 diabetes	48	NA	vumc
Cancer of bronchus; lung	Rheumatoid arthritis	48	NA	vumc
Cancer of bronchus; lung	Malignant neoplasm of rectum, rectosigmoid junction, and anus	47	NA	vumc
Cancer of bronchus; lung	Dysthymic disorder	47	NA	vumc
Cancer of bronchus; lung	Cardiac conduction disorders	47	NA	vumc
Cancer of bronchus; lung	Pneumonitis due to inhalation of food or vomitus	47	NA	vumc
Cancer of bronchus; lung	Blood in stool	47	NA	vumc
Cancer of bronchus; lung	Thoracic or lumbosacral neuritis or radiculitis, unspecified	47	NA	vumc
Cancer of bronchus; lung	Cancer of mouth	46	NA	vumc
Cancer of bronchus; lung	Sleep apnea	46	NA	vumc
Cancer of bronchus; lung	Paroxysmal ventricular tachycardia	46	NA	vumc
Cancer of bronchus; lung	Stomatitis and mucositis	46	NA	vumc
Cancer of bronchus; lung	Cholelithiasis	46	NA	vumc
Cancer of bronchus; lung	Morbid obesity	45	NA	vumc
Cancer of bronchus; lung	Chronic pulmonary heart disease	45	NA	vumc
Cancer of bronchus; lung	Cancer of kidney and renal pelvis	44	NA	vumc
Cancer of bronchus; lung	Atherosclerosis of native arteries of the extremities with intermittent claudication	44	NA	vumc
Cancer of bronchus; lung	Disturbance of salivary secretion	44	NA	vumc
Cancer of bronchus; lung	Stricture and stenosis of esophagus	44	NA	vumc
Cancer of bronchus; lung	Other chronic nonalcoholic liver disease	44	NA	vumc
Cancer of bronchus; lung	Septic shock	44	NA	vumc
Cancer of bronchus; lung	Infection/inflammation of internal prosthetic device; implant; and graft	43	NA	vumc
Cancer of bronchus; lung	Electrolyte imbalance	43	NA	vumc
Cancer of bronchus; lung	Myopathy	43	NA	vumc
Cancer of bronchus; lung	Disorders of vitreous body	43	NA	vumc
Cancer of bronchus; lung	Chronic sinusitis	43	NA	vumc
Cancer of bronchus; lung	Other disorders of intestine	43	NA	vumc
Cancer of bronchus; lung	Hydronephrosis	43	NA	vumc
Cancer of bronchus; lung	Hyperventilation	42	NA	vumc
Cancer of bronchus; lung	Noninfectious gastroenteritis	42	NA	vumc
Cancer of bronchus; lung	Cellulitis and abscess of leg, except foot	42	NA	vumc
Cancer of bronchus; lung	Spinal stenosis of lumbar region	42	NA	vumc
Cancer of bronchus; lung	Mood disorders	41	NA	vumc
Cancer of bronchus; lung	Orthostatic hypotension	41	NA	vumc
Cancer of bronchus; lung	Viral hepatitis C	40	NA	vumc
Cancer of bronchus; lung	Polyneuropathy in diabetes	40	NA	vumc
Cancer of bronchus; lung	Dry eyes	40	NA	vumc
Cancer of bronchus; lung	Other hypertensive complications	40	NA	vumc
Cancer of bronchus; lung	Wheezing	40	NA	vumc
Cancer of bronchus; lung	Neuralgia, neuritis, and radiculitis NOS	40	NA	vumc
Cancer of bronchus; lung	Shock	40	NA	vumc
Cancer of bronchus; lung	Hemorrhoids	39	NA	vumc
Cancer of bronchus; lung	Cyst of kidney, acquired	39	NA	vumc
Cancer of bronchus; lung	Abnormal coagulation profile	38	NA	vumc
Cancer of bronchus; lung	Hearing loss	38	NA	vumc
Cancer of bronchus; lung	Acute, but ill-defined cerebrovascular disease	38	NA	vumc
Cancer of bronchus; lung	Noninfectious disorders of lymphatic channels	38	NA	vumc
Cancer of bronchus; lung	Scar conditions and fibrosis of skin	38	NA	vumc
Cancer of bronchus; lung	Decubitus ulcer	38	NA	vumc
Cancer of bronchus; lung	Squamous cell carcinoma	37	NA	vumc
Cancer of bronchus; lung	Glucocorticoid deficiency	37	NA	vumc
Cancer of bronchus; lung	Delirium due to conditions classified elsewhere	37	NA	vumc
Cancer of bronchus; lung	Atherosclerosis	37	NA	vumc
Cancer of bronchus; lung	Benign neoplasm of skin	36	NA	vumc
Cancer of bronchus; lung	Aphasia/speech disturbance	36	NA	vumc
Cancer of bronchus; lung	Abnormal serum enzyme levels	36	NA	vumc
Cancer of bronchus; lung	E. coli	35	NA	vumc
Cancer of bronchus; lung	Thyroid cancer	35	NA	vumc
Cancer of bronchus; lung	Type 2 diabetes with renal manifestations	35	NA	vumc
Cancer of bronchus; lung	Alcohol-related disorders	35	NA	vumc
Cancer of bronchus; lung	Glaucoma	35	NA	vumc
Cancer of bronchus; lung	Symptoms involving cardiovascular system	35	NA	vumc
Cancer of bronchus; lung	Atherosclerosis of aorta	35	NA	vumc
Cancer of bronchus; lung	Paralytic ileus	35	NA	vumc
Cancer of bronchus; lung	Diverticulitis	35	NA	vumc
Cancer of bronchus; lung	Cirrhosis of liver without mention of alcohol	35	NA	vumc
Cancer of bronchus; lung	Lump or mass in breast	35	NA	vumc
Cancer of bronchus; lung	Dermatophytosis of nail	34	NA	vumc
Cancer of bronchus; lung	Precordial pain	34	NA	vumc
Cancer of bronchus; lung	Abnormal electrocardiogram [ECG] [EKG]	34	NA	vumc
Cancer of bronchus; lung	Late effects of cerebrovascular disease	34	NA	vumc
Cancer of bronchus; lung	Spinal stenosis	34	NA	vumc
Cancer of bronchus; lung	Pathologic fracture of vertebrae	34	NA	vumc
Cancer of bronchus; lung	Musculoskeletal symptoms referable to limbs	34	NA	vumc
Cancer of bronchus; lung	Hemorrhage or hematoma complicating a procedure	34	NA	vumc
Cancer of bronchus; lung	Intestinal infection due to C. difficile	33	NA	vumc
Cancer of bronchus; lung	Methicillin sensitive Staphylococcus aureus	33	NA	vumc
Cancer of bronchus; lung	Neuroendocrine tumors	33	NA	vumc
Cancer of bronchus; lung	Iron deficiency anemia secondary to blood loss (chronic)	33	NA	vumc
Cancer of bronchus; lung	Chronic pericarditis	33	NA	vumc
Cancer of bronchus; lung	Dental caries	33	NA	vumc
Cancer of bronchus; lung	Other disorders of cervical region	33	NA	vumc
Cancer of bronchus; lung	Cancer of esophagus	32	NA	vumc
Cancer of bronchus; lung	Proteinuria	32	NA	vumc
Cancer of bronchus; lung	Hypocalcemia	32	NA	vumc
Cancer of bronchus; lung	Other and unspecified coagulation defects	32	NA	vumc
Cancer of bronchus; lung	Bipolar	32	NA	vumc
Cancer of bronchus; lung	Secondary/extrinsic cardiomyopathies	32	NA	vumc
Cancer of bronchus; lung	Aortic aneurysm	32	NA	vumc
Cancer of bronchus; lung	Other symptoms/disorders or the urinary system	32	NA	vumc
Cancer of bronchus; lung	Other abnormality of urination	32	NA	vumc
Cancer of bronchus; lung	Benign neoplasm of respiratory and intrathoracic organs	31	NA	vumc
Cancer of bronchus; lung	Nontoxic uninodular goiter	31	NA	vumc
Cancer of bronchus; lung	Generalized anxiety disorder	31	NA	vumc
Cancer of bronchus; lung	Polyneuropathy due to drugs	31	NA	vumc
Cancer of bronchus; lung	Degenerative disease of the spinal cord	31	NA	vumc
Cancer of bronchus; lung	Abnormal heart sounds	31	NA	vumc
Cancer of bronchus; lung	Cardiac dysrhythmias	31	NA	vumc
Cancer of bronchus; lung	Bronchopneumonia and lung abscess	31	NA	vumc
Cancer of bronchus; lung	Hemorrhage of rectum and anus	31	NA	vumc
Cancer of bronchus; lung	Cellulitis and abscess of trunk	31	NA	vumc
Cancer of bronchus; lung	Osteoarthrosis, generalized	31	NA	vumc
Cancer of bronchus; lung	Diabetes mellitus	30	NA	vumc
Cancer of bronchus; lung	Secondary thrombocytopenia	30	NA	vumc
Cancer of bronchus; lung	Aphasia	30	NA	vumc
Cancer of bronchus; lung	Pulmonary heart disease	30	NA	vumc
Cancer of bronchus; lung	Other diseases of respiratory system, NEC	30	NA	vumc
Cancer of bronchus; lung	Erectile dysfunction [ED]	30	NA	vumc
Cancer of bronchus; lung	Sebaceous cyst	30	NA	vumc
Cancer of bronchus; lung	Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum	29	NA	vumc
Cancer of bronchus; lung	Malignant neoplasm of other urinary organs	29	NA	vumc
Cancer of bronchus; lung	Alcoholism	29	NA	vumc
Cancer of bronchus; lung	Paroxysmal supraventricular tachycardia	29	NA	vumc
Cancer of bronchus; lung	Congestive heart failure; nonhypertensive	29	NA	vumc
Cancer of bronchus; lung	Symptoms and disorders of the joints	29	NA	vumc
Cancer of bronchus; lung	Other specified osteoporosis	29	NA	vumc
Cancer of bronchus; lung	Complications of cardiac/vascular device, implant, and graft	29	NA	vumc
Cancer of bronchus; lung	Allergy/adverse effect of penicillin	29	NA	vumc
Cancer of bronchus; lung	Streptococcus infection	28	NA	vumc
Cancer of bronchus; lung	Nontoxic multinodular goiter	28	NA	vumc
Cancer of bronchus; lung	Immunity deficiency	28	NA	vumc
Cancer of bronchus; lung	Memory loss	28	NA	vumc
Cancer of bronchus; lung	Hydrocephalus	28	NA	vumc
Cancer of bronchus; lung	Heart valve replaced	28	NA	vumc
Cancer of bronchus; lung	Chronic pharyngitis and nasopharyngitis	28	NA	vumc
Cancer of bronchus; lung	Other pulmonary inflamation or edema	28	NA	vumc
Cancer of bronchus; lung	Anal and rectal conditions	28	NA	vumc
Cancer of bronchus; lung	Symptomatic menopause	28	NA	vumc
Cancer of bronchus; lung	Pathologic fracture of femur	28	NA	vumc
Cancer of bronchus; lung	Elevated prostate specific antigen [PSA]	28	NA	vumc
Cancer of bronchus; lung	Anemia of chronic disease	27	NA	vumc
Cancer of bronchus; lung	Encephalopathy, not elsewhere classified	27	NA	vumc
Cancer of bronchus; lung	Lack of coordination	27	NA	vumc
Cancer of bronchus; lung	Heart valve disorders	27	NA	vumc
Cancer of bronchus; lung	Cardiac defibrillator in situ	27	NA	vumc
Cancer of bronchus; lung	Intracerebral hemorrhage	27	NA	vumc
Cancer of bronchus; lung	Lung disease due to external agents	27	NA	vumc
Cancer of bronchus; lung	Chronic dermatitis due to solar radiation	27	NA	vumc
Cancer of bronchus; lung	Gram negative septicemia	26	NA	vumc
Cancer of bronchus; lung	Staphylococcus infections	26	NA	vumc
Cancer of bronchus; lung	Manlignant and unknown neoplasms of brain and nervous system	26	NA	vumc
Cancer of bronchus; lung	Cachexia	26	NA	vumc
Cancer of bronchus; lung	Alkalosis	26	NA	vumc
Cancer of bronchus; lung	Psychosis	26	NA	vumc
Cancer of bronchus; lung	Hemiplegia	26	NA	vumc
Cancer of bronchus; lung	Other disorders of circulatory system	26	NA	vumc
Cancer of bronchus; lung	Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [LDH]	26	NA	vumc
Cancer of bronchus; lung	Chronic ulcer of leg or foot	26	NA	vumc
Cancer of bronchus; lung	Difficulty in walking	26	NA	vumc
Cancer of bronchus; lung	Complication due to other implant and internal device	26	NA	vumc
Cancer of bronchus; lung	Methicillin resistant Staphylococcus aureus	25	NA	vumc
Cancer of bronchus; lung	Cancer of larynx, pharynx, nasal cavities	25	NA	vumc
Cancer of bronchus; lung	Inflammatory and toxic neuropathy	25	NA	vumc
Cancer of bronchus; lung	Atherosclerosis of the extremities	25	NA	vumc
Cancer of bronchus; lung	Chronic bronchitis	25	NA	vumc
Cancer of bronchus; lung	Inguinal hernia	25	NA	vumc
Cancer of bronchus; lung	Incisional hernia	25	NA	vumc
Cancer of bronchus; lung	Liver abscess and sequelae of chronic liver disease	25	NA	vumc
Cancer of bronchus; lung	Renal failure NOS	25	NA	vumc
Cancer of bronchus; lung	End stage renal disease	25	NA	vumc
Cancer of bronchus; lung	Chronic Kidney Disease, Stage IV	25	NA	vumc
Cancer of bronchus; lung	Disorder of skin and subcutaneous tissue NOS	25	NA	vumc
Cancer of bronchus; lung	Symptoms involving skin and other integumentary tissue	25	NA	vumc
Cancer of bronchus; lung	Cancer of stomach	24	NA	vumc
Cancer of bronchus; lung	Epilepsy, recurrent seizures, convulsions	24	NA	vumc
Cancer of bronchus; lung	Visual disturbances	24	NA	vumc
Cancer of bronchus; lung	Circulatory disease NEC	24	NA	vumc
Cancer of bronchus; lung	Abnormal results of function study of liver	24	NA	vumc
Cancer of bronchus; lung	Spasm of muscle	24	NA	vumc
Cancer of bronchus; lung	Fracture of unspecified bones	24	NA	vumc
Cancer of bronchus; lung	Dislocation	24	NA	vumc
Cancer of bronchus; lung	Herpes zoster	23	NA	vumc
Cancer of bronchus; lung	Malignant neoplasm of small intestine, including duodenum	23	NA	vumc
Cancer of bronchus; lung	Basal cell carcinoma	23	NA	vumc
Cancer of bronchus; lung	Anxiety disorders	23	NA	vumc
Cancer of bronchus; lung	Inflammation of eyelids	23	NA	vumc
Cancer of bronchus; lung	Abnormal function study of cardiovascular system	23	NA	vumc
Cancer of bronchus; lung	Cardiac complications, not elsewhere classified	23	NA	vumc
Cancer of bronchus; lung	Epistaxis or throat hemorrhage	23	NA	vumc
Cancer of bronchus; lung	Diseases of esophagus	23	NA	vumc
Cancer of bronchus; lung	Peptic ulcer, site unspecified	23	NA	vumc
Cancer of bronchus; lung	Complications of gastrostomy, colostomy and enterostomy	23	NA	vumc
Cancer of bronchus; lung	Functional digestive disorders	23	NA	vumc
Cancer of bronchus; lung	Jaundice (not of newborn)	23	NA	vumc
Cancer of bronchus; lung	Chronic kidney disease, Stage I or II	23	NA	vumc
Cancer of bronchus; lung	Sciatica	23	NA	vumc
Cancer of bronchus; lung	Contusion	23	NA	vumc
Cancer of bronchus; lung	Pancreatic cancer	22	NA	vumc
Cancer of bronchus; lung	Thyrotoxicosis with or without goiter	22	NA	vumc
Cancer of bronchus; lung	Bronchiectasis	22	NA	vumc
Cancer of bronchus; lung	Other disorders of stomach and duodenum	22	NA	vumc
Cancer of bronchus; lung	Irritable Bowel Syndrome	22	NA	vumc
Cancer of bronchus; lung	Acute pancreatitis	22	NA	vumc
Cancer of bronchus; lung	Gross hematuria	22	NA	vumc
Cancer of bronchus; lung	stress incontinence, female	22	NA	vumc
Cancer of bronchus; lung	Displacement of intervertebral disc	22	NA	vumc
Cancer of bronchus; lung	Fracture of neck of femur	22	NA	vumc
Cancer of bronchus; lung	Cancer of hypopharynx	21	NA	vumc
Cancer of bronchus; lung	Other disorders of thyroid	21	NA	vumc
Cancer of bronchus; lung	Disorders of phosphorus metabolism	21	NA	vumc
Cancer of bronchus; lung	Impacted cerumen	21	NA	vumc
Cancer of bronchus; lung	Eustachian tube disorders	21	NA	vumc
Cancer of bronchus; lung	Disease of tricuspid valve	21	NA	vumc
Cancer of bronchus; lung	Pruritus and related conditions	21	NA	vumc
Cancer of bronchus; lung	Fracture of ribs	21	NA	vumc
Cancer of bronchus; lung	Open wounds of head; neck; and trunk	21	NA	vumc
Cancer of bronchus; lung	Cancer of of nasal cavities	20	NA	vumc
Cancer of bronchus; lung	Malignant neoplasm of liver, primary	20	NA	vumc
Cancer of bronchus; lung	Non-Hodgkins lymphoma	20	NA	vumc
Cancer of bronchus; lung	Other disorders of neurohypophysis	20	NA	vumc
Cancer of bronchus; lung	Hyperosmolality and/or hypernatremia	20	NA	vumc
Cancer of bronchus; lung	Decreased white blood cell count	20	NA	vumc
Cancer of bronchus; lung	Other persistent mental disorders due to conditions classified elsewhere	20	NA	vumc
Cancer of bronchus; lung	Diplopia and disorders of binocular vision	20	NA	vumc
Cancer of bronchus; lung	Cerebral aneurysm	20	NA	vumc
Cancer of bronchus; lung	Septal Deviations/Turbinate Hypertrophy	20	NA	vumc
Cancer of bronchus; lung	Diseases of pancreas	20	NA	vumc
Cancer of bronchus; lung	Urinary calculus	20	NA	vumc
Cancer of bronchus; lung	Unspecified osteomyelitis	20	NA	vumc
Cancer of bronchus; lung	Synovitis and tenosynovitis	20	NA	vumc
Cancer of bronchus; lung	Gram positive septicemia	19	NA	vumc
Cancer of bronchus; lung	Malignant neoplasm of renal pelvis	19	NA	vumc
Cancer of bronchus; lung	Other nutritional deficiency	19	NA	vumc
Cancer of bronchus; lung	Anemia in chronic kidney disease	19	NA	vumc
Cancer of bronchus; lung	Develomental delays and disorders	19	NA	vumc
Cancer of bronchus; lung	Migraine	19	NA	vumc
Cancer of bronchus; lung	Abnormal involuntary movements	19	NA	vumc
Cancer of bronchus; lung	Open-angle glaucoma	19	NA	vumc
Cancer of bronchus; lung	Acute pharyngitis	19	NA	vumc
Cancer of bronchus; lung	Throat pain	19	NA	vumc
Cancer of bronchus; lung	Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue	19	NA	vumc
Cancer of bronchus; lung	Cholecystitis without cholelithiasis	19	NA	vumc
Cancer of bronchus; lung	Stricture/obstruction of ureter	19	NA	vumc
Cancer of bronchus; lung	Functional disorders of bladder	19	NA	vumc
Cancer of bronchus; lung	Polymyalgia Rheumatica	19	NA	vumc
Cancer of bronchus; lung	Cervical radiculitis	19	NA	vumc
Cancer of bronchus; lung	Acquired hypothyroidism	18	NA	vumc
Cancer of bronchus; lung	Diabetic retinopathy	18	NA	vumc
Cancer of bronchus; lung	Carcinoid syndrome	18	NA	vumc
Cancer of bronchus; lung	Other vitamin B12 deficiency anemia	18	NA	vumc
Cancer of bronchus; lung	Other diseases of blood and blood-forming organs	18	NA	vumc
Cancer of bronchus; lung	Restless legs syndrome	18	NA	vumc
Cancer of bronchus; lung	Other and unspecified disorders of the nervous system	18	NA	vumc
Cancer of bronchus; lung	Chronic pain syndrome	18	NA	vumc
Cancer of bronchus; lung	Otalgia	18	NA	vumc
Cancer of bronchus; lung	Chronic obstructive asthma	18	NA	vumc
Cancer of bronchus; lung	Other alveolar and parietoalveolar pneumonopathy	18	NA	vumc
Cancer of bronchus; lung	Peritonitis and retroperitoneal infections	18	NA	vumc
Cancer of bronchus; lung	Peritoneal adhesions (postoperative) (postinfection)	18	NA	vumc
Cancer of bronchus; lung	Other local infections of skin and subcutaneous tissue	18	NA	vumc
Cancer of bronchus; lung	Chronic osteomyelitis	18	NA	vumc
Cancer of bronchus; lung	Hammer toe (acquired)	18	NA	vumc
Cancer of bronchus; lung	Skull and face fracture and other intercranial injury	18	NA	vumc
Cancer of bronchus; lung	Sprains and strains of back and neck	18	NA	vumc
